,ID,Plant_ID,Temp,OE_treatment,Milkweed,Lineage,OE_strain,PlotNum,ibutton,Surv_pupa,Surv_adult,PupalMass,Date_inoculated,Date_into_pint,PupalScore,Date_PupScore,Eclosion_Date,Sex,OE_tape_score,InfectionStatus,Death_date,Notes,Inoc_to_pupa,AdultLongevity,AvgOE_corner,OE_5ml,LogOE,ForewingLength.mm.,CtoN,CtoN_Jul
201,101a,101,elevated,infected,tropical,E,E6,28,T5,1,1,1.19,6/11/2021,6/25/2021,,missed,6/28/2021,F,5,1,7/6/2021,,14,8,5.45,272500,5.4353681,51.2,9.93,
202,101b,101,elevated,infected,tropical,E,E6,28,T5,1,1,1.227,6/11/2021,6/25/2021,,missed,6/28/2021,F,5,1,7/6/2021,,14,8,7.7,385000,5.585461858,49.3,9.93,
203,102a,102,elevated,control,tropical,E,C,28,T5,1,1,1.455,6/10/2021,6/25/2021,,,6/29/2021,M,0,0,7/26/2021,,15,27,NA,NA,NA,52.8,,
204,102b,102,elevated,control,tropical,E,C,28,T5,1,1,1.369,6/10/2021,6/25/2021,,,6/29/2021,M,0,0,7/13/2021,,15,14,NA,NA,NA,50.8,,
205,103a,103,elevated,infected,swamp,C,WV1,28,T5,1,1,1.415,6/11/2021,6/24/2021,1,26-Jun,6/29/2021,M,5,1,7/17/2021,,13,18,0.15,7500,3.875119165,52.8,,
206,103b,103,elevated,infected,swamp,C,WV1,28,T5,1,1,1.341,6/11/2021,6/24/2021,0,26-Jun,6/28/2021,M,0,0,7/14/2021,,13,16,NA,NA,NA,51.9,,
207,104a,104,elevated,control,swamp,B,C,28,T5,1,1,1.29,6/10/2021,6/24/2021,,,6/29/2021,F,0,0,7/19/2021,,14,20,NA,NA,NA,52.1,,
208,104b,104,elevated,control,swamp,B,C,28,T5,1,1,1.28,6/10/2021,6/24/2021,,,6/28/2021,F,0,0,7/10/2021,,14,12,NA,NA,NA,49.3,,
209,105a,105,ambient,infected,tropical,A,WV1,29,T11,1,1,1.369,6/11/2021,6/25/2021,1,28-Jun,6/29/2021,M,0,0,7/23/2021,,14,24,NA,NA,NA,51.4,,
210,105b,105,ambient,infected,tropical,A,WV1,29,T11,1,1,1.406,6/11/2021,6/25/2021,0,28-Jun,6/29/2021,M,0,0,7/23/2021,,14,24,NA,NA,NA,52.1,,
